word_segment,times,co,fr_left,fr_right,score
金桂见,5,1265.013698630137,1.9219280948873625,1.9219280948873625,4672.717216529605
妹妹这,14,666.7581227436823,2.2608203181716595,3.09306920777189,4662.555347757828
月钱的,5,864.6629213483146,2.3219280948873617,2.3219280948873617,4661.7005083055765
是湘云,6,799.5324675324675,2.2516291673878226,2.5849625007211556,4653.580355378429
去瞧瞧,18,320.2751445086705,3.5724312513221195,4.0588138903312005,4643.936296825819
拿来给,8,882.6379928315413,3.0,1.75,4633.8494623655915
忙回身,8,513.0333333333333,3.0,3.0,4617.299999999999
屋里人,14,584.3362711864406,2.521640636343318,3.128085278891395,4609.190136498406
的不像,11,701.0393374741202,2.4040097573248604,2.7321588913645707,4604.522153919847
不自在,52,194.11399466407954,4.6568885160932005,5.0850551027564785,4596.723188674875
紫鹃听,24,599.6493506493507,3.7720552088742014,2.0306721295208874,4593.198523719773
去一时,20,272.5678866587957,3.9841837197791894,4.221928094887361,4584.847299244121
到门口,7,720.6488294314381,2.5216406363433186,2.5216406363433186,4582.36917239102
见惜春,8,605.5475409836066,2.75,2.75,4579.453278688525
所以也,9,753.8448979591836,2.94770277922009,2.058813890331201,4574.912376691873
人跟前,14,511.005533596838,2.6923806024549752,3.3248629576173565,4574.417563950024
银子只,8,604.5564648117839,2.75,2.75,4571.958265139116
上夜的,36,339.50735294117646,4.493132557647859,2.9965428957917766,4571.080978240485
意思只,9,1049.3863636363637,2.058813890331201,2.113283334294875,4565.7300928752875
薛宝钗,28,223.23128723128724,4.5930692077718875,4.450212064914747,4562.876978299732
道何曾,8,769.55,2.75,2.1556390622295662,4561.898110931596
晴雯的,5,1020.3977900552486,1.9219280948873625,2.3219280948873617,4553.60558615302
坐着吃,5,1020.3977900552486,2.3219280948873617,1.9219280948873625,4553.60558615302
如今又,29,234.0836501901141,4.375222374437917,4.444187891679297,4551.595130425455
完了再,6,679.0147058823529,2.5849625007211556,2.5849625007211556,4537.197402525052
儿所以,6,679.0147058823529,2.5849625007211556,2.5849625007211556,4537.197402525052
就可以,6,679.0147058823529,2.5849625007211556,2.5849625007211556,4537.197402525052
府里的,27,310.7355433698903,3.467669446527785,4.208410187268528,4534.680442240744
道快别,5,839.5090909090909,2.3219280948873617,2.3219280948873617,4526.087402609413
百般的,5,839.5090909090909,2.3219280948873617,2.3219280948873617,4526.087402609413
在灵前,5,839.5090909090909,2.3219280948873617,2.3219280948873617,4526.087402609413
说方才,11,377.6932515337424,3.459431618637298,3.459431618637298,4520.107109347409
要紧的,49,373.25365008661214,3.3948955597648625,3.5594009771689867,4510.32043119951
再说罢,7,1086.4235294117648,1.950212064914747,2.128085278891395,4508.894037675668
答应道,11,605.5475409836066,3.0957952550009344,2.4040097573248604,4506.679786127896
