word_segment,fr_left,fr_right
宝玉道这也,2.321928094887362,1.9219280948873623
宝玉道这是,2.8073549220576046,2.5216406363433186
宝钗听说便,2.321928094887362,1.9219280948873623
宝钗因笑道,1.9219280948873623,2.321928094887362
宝钗笑道你,3.238901256602631,3.3927474104487847
宝钗笑道我,2.950212064914747,3.8073549220576055
宝钗笑道这,3.5465935642949384,3.180832987205441
宝钗袭人等,1.9219280948873623,1.9219280948873623
家的答应了,1.8423709931771088,2.8073549220576046
宿无话次日,0.0,2.2516291673878226
宿无话至次,0.0,0.0
将方才的话,1.9219280948873623,1.9219280948873623
小丫头子们,3.880179922675737,4.201841232302569
小丫头子来,1.9219280948873623,2.321928094887362
小丫头子说,2.321928094887362,2.321928094887362
小丫头进来,1.2987949406953985,2.75
尤二姐笑道,2.2516291673878226,2.2516291673878226
尤氏笑道你,2.2516291673878226,2.584962500721156
尤氏笑道我,2.8073549220576046,2.8073549220576046
就好了说着,2.584962500721156,1.7924812503605778
就是了凤姐,2.8073549220576046,2.2359263506290326
就是了宝玉,3.584962500721156,2.251629167387823
就是了王夫,3.0,0.0
就是了袭人,2.2359263506290326,2.128085278891395
就是了说毕,1.9219280948873623,1.9219280948873623
就是了说着,3.169925001442312,2.6416041678685933
就是了贾母,2.6464393446710153,2.0464393446710156
就是了贾琏,2.321928094887362,2.321928094887362
就是老太太,2.5216406363433186,2.8073549220576046
屋里的丫头,2.321928094887362,2.321928094887362
巴不得一声,2.8073549220576046,1.6644977792004616
带了刘姥姥,2.321928094887362,2.321928094887362
平儿笑道你,2.128085278891395,2.5216406363433186
平儿笑道奶,2.2516291673878226,0.0
平儿笑道我,2.584962500721156,2.584962500721156
平儿笑道这,3.0,2.5
平儿答应着,2.128085278891395,2.5216406363433186
并没有什么,2.321928094887362,2.321928094887362
应了几个是,0.6500224216483541,2.584962500721156
底是怎么着,0.0,2.321928094887362
强占良民妻,1.9219280948873623,0.7219280948873623
往王夫人处,2.321928094887362,0.7219280948873623
往稻香村来,2.584962500721156,2.584962500721156
往贾母处来,2.2998963911678914,3.459431618637298
往贾母这边,2.321928094887362,0.0
往那里去了,3.1808329872054406,3.5465935642949384
得死去活来,1.1488348542809168,2.5216406363433186
心中不自在,2.584962500721156,2.584962500721156
心里怎么样,1.9219280948873623,2.321928094887362
怎么样凤姐,2.1556390622295662,1.2987949406953985
怎么样呢我,1.9219280948873623,2.321928094887362
怎么样宝玉,2.75,2.75
怎么样才好,1.9219280948873623,2.321928094887362
怎么样王夫,2.321928094887362,0.0
怎么样袭人,1.9219280948873623,1.9219280948873623
悄悄的告诉,2.94770277922009,2.4193819456463714
悄悄的笑道,2.9219280948873627,2.8464393446710154
悄悄的说道,2.5216406363433186,2.5216406363433186
想了一想便,2.5216406363433186,2.8073549220576046
想了一想笑,3.2516291673878226,0.41381685030363374
想了一想说,2.75,2.1556390622295662
想了一想道,2.8073549220576046,2.8073549220576046
愿意不愿意,2.2516291673878226,2.584962500721156
慌慌张张的,2.2359263506290326,2.2359263506290326
慢慢的走着,1.9219280948873623,2.321928094887362
我一面说一,2.321928094887362,0.0
我也不知道,1.6767370300521325,3.277613436819116
我也是这么,0.7219280948873623,0.9709505944546686
我什么相干,0.0,2.584962500721156
我们娘儿们,2.321928094887362,1.9219280948873623
我们庄家人,1.9219280948873623,2.321928094887362
我们老太太,2.2516291673878226,2.584962500721156
我们这些人,2.5216406363433186,2.8073549220576046
我们那一个,2.584962500721156,2.584962500721156
我正要告诉,1.9219280948873623,1.5219280948873621
我竟不知道,2.584962500721156,2.2516291673878226
我说了一句,2.321928094887362,2.321928094887362
房里的丫头,2.321928094887362,2.321928094887362
手里拿着一,2.2359263506290326,2.8073549220576046
才好王夫人,2.2516291673878226,2.2516291673878226
打发人去请,2.321928094887362,1.9219280948873623
打发人来叫,1.9219280948873623,2.321928094887362
打发人来说,1.9182958340544896,2.2516291673878226
打发人来请,2.8073549220576046,2.5216406363433186
打发小丫头,3.0,2.1556390622295662
抿着嘴儿笑,2.321928094887362,2.321928094887362
掌不住笑了,1.7924812503605778,2.2516291673878226
探春冷笑道,2.5216406363433186,2.128085278891395
探春笑道你,1.9219280948873623,2.321928094887362
探春笑道我,3.2776134368191165,3.2776134368191165
提且说宝玉,0.0,2.321928094887362
提且说贾政,0.0,2.321928094887362
摸不着头脑,3.180832987205441,2.873140679513133
政听了这话,0.0,2.321928094887362
敢违拗只得,0.0,2.584962500721156
文第一百一,0.0,0.0
文第一百零,0.0,3.169925001442312
无可如何了,1.9219280948873623,2.321928094887362
无法无天的,1.9219280948873623,2.321928094887362
无精打采的,2.584962500721156,2.584962500721156
无话至次日,0.0,2.94770277922009
日一早起来,0.6500224216483541,2.584962500721156
时不是别人,0.0,1.8423709931771088
时周瑞家的,0.7219280948873623,2.321928094887362
春探春惜春,0.0,2.5216406363433186
是不中用的,2.5216406363433186,2.5216406363433186
是个明白人,2.2810361125534233,2.725480556997868
是了王夫人,0.5032583347756457,2.9477027792200903
是什么东西,2.5,3.0
是什么大事,0.8112781244591328,3.0
是什么大病,0.0,2.321928094887362
是什么意思,2.9312089489103235,3.334679141051595
是俗语说的,2.251629167387823,2.584962500721156
是别人却是,0.0,2.9219280948873623
是咱们家的,2.1556390622295662,2.75
是小孩子的,1.9219280948873623,1.5219280948873621
是我的不是,1.792481250360578,2.584962500721156
是我的造化,1.3709505944546687,1.3709505944546687
是有造化的,2.6416041678685933,2.6416041678685933
是没有的事,2.2516291673878226,2.584962500721156
是老太太太,2.584962500721156,0.0
是老太太的,3.725480556997868,3.9477027792200903
是那里来的,3.1808329872054406,3.7004397181410926
是那里的话,0.0,3.0
暂且不提且,2.2516291673878226,0.0
有一副对联,0.7219280948873623,2.321928094887362
有什么东西,0.7219280948873623,2.321928094887362
有什么法儿,2.1556390622295662,2.75
有什么要紧,2.4056390622295662,2.0
有什么说的,2.5216406363433186,2.8073549220576046
有年纪的人,2.4193819456463714,3.169925001442312
未知何事下,1.7924812503605778,0.0
李纨凤姐宝,2.2516291673878226,0.9182958340544896
李纨笑道这,1.9219280948873623,2.321928094887362
来一面说一,2.128085278891395,0.0
来不为别的,0.7219280948873623,2.321928094887362
来了凤姐儿,1.9219280948873623,2.321928094887362
来了宝玉忙,2.321928094887362,1.9219280948873623
来了宝玉笑,2.321928094887362,0.7219280948873623
