word_segment,times,co
个心,43,5.297540542327417
个念,10,10.297544801452593
个怎,8,1.335216818292324
个情,12,7.4848439928272565
个想,7,0.7242443831922108
个意,7,2.1768598981988103
个成,6,6.484394548241435
个所,11,4.463545441819228
个才,11,1.2018956194688413
个打,6,0.8934841055557775
个指,8,22.390558952902047
个揖,14,56.59835735316907
个放,5,3.015303173906008
个新,15,14.36236511781546
个方,7,2.488852847777793
个明,23,5.554295182730403
个景,5,8.802739910919152
个有,32,2.454622063705355
个朋,9,40.932740585774056
个未,8,5.670336358202467
个极,14,33.220774968164456
个林,9,2.0297226736747467
个样,27,5.2347376948059186
个梦,7,14.981918122897694
个水,5,7.18118255890773
个法,19,12.41871570666199
个泼,5,109.1539748953975
个活,5,7.796712492528392
个混,9,8.850322288816013
个清,11,9.76173759227132
个湘,5,1.949178123132098
个满,5,5.298736645407645
个灯,5,9.74589061566049
个爱,6,5.645895253210215
个玉,6,0.11336746570406525
个王,9,1.7204654536927801
个理,8,8.316493325363618
个生,7,2.280829326172485
个男,24,37.424219964136284
个病,21,6.663469397684149
个的,34,0.36140180606130246
个盒,7,18.636044494336158
个盹,5,45.48082287308229
个看,9,1.6025869071102405
个眼,27,8.985235738340647
个知,13,3.338827467388629
个礼,6,5.645895253210215
个神,8,6.1931333273984395
个竟,6,1.931928759210575
个笑,18,0.6761085850368737
个管,11,5.857042555362792
个粉,6,32.74619246861925
个糊,13,18.428593164158016
个纸,9,31.68986367930895
个给,8,1.2710797658852693
个绝,7,109.1539748953975
个罢,5,0.673789968490108
个美,9,49.11928870292887
个聪,10,109.1539748953975
个脚,5,11.864562488630161
个膀,6,109.1539748953975
个自,16,3.898356246264196
个臭,6,109.1539748953975
个花,13,3.2323500538500394
个茶,6,2.205130805967626
个荷,7,109.1539748953975
个菊,5,20.99114901834567
个虚,6,18.192329149232915
个袭,9,1.1503346300451727
个见,5,0.38652257399220075
个话,25,5.309045471566026
个说,26,0.7722458087837646
个贴,7,19.591739083789292
个贾,13,0.35289770545639576
个赏,5,12.128219432821943
个跟,11,4.212960434559202
个还,17,1.2631841887146067
个这,16,0.4310127340390819
个进,6,0.8561096070227254
个道,22,0.34472975132052036
个都,30,4.548082287308229
个酒,7,6.36731520223152
个里,7,0.44345782023667
个野,6,43.661589958159
个钱,47,14.533248782106748
个银,5,1.5638105285873565
个长,8,13.644246861924687
个问,5,0.8947047122573565
个闲,5,4.916845716008896
个院,6,2.6408219732757456
个难,7,3.351218527490274
个雀,7,29.38760862568394
个青,5,21.8307949790795
个顽,6,2.8351681791012333
个题,7,25.46926080892608
个风,7,6.36731520223152
个香,13,3.5563951720304945
个鬼,5,9.409825422017025
丫头,1002,96.13706495546944
丫鬟,225,207.09205220207664
中作,7,17.686986672865334
中其,5,118.64562488630162
中几,8,21.8307949790795
中凤,5,4.066839601169802
中吃,8,8.974633084924768
中告,6,15.090411275861404
中回,6,12.105801282299167
中姊,7,42.92572046448216
中带,5,19.14982015708728
中想,9,9.311713498185568
中抱,5,248.07721567135792
中既,5,27.564135074595324
中果,5,41.66182247915935
中游,5,545.7698744769874
中用,66,296.4675861356475
中的,48,5.102143144394858
中着,5,2.0433166397491105
中睡,5,19.7028835551259
中袭,7,8.947047122573565
中觉,13,88.13674991553835
中贾,9,2.4431379608519705
丰儿,45,54.44031719532554
串子,5,65.62968553459119
临安,7,2635.131313131313
丸药,16,1762.6891891891892
丹亭,6,14493.222222222223
为什,162,83.06175450319867
为别,8,9.46801010756298
为喜,8,24.503352001221046
为姑,5,3.5931431152932882
为婚,6,408.8996865203762
为宝,15,2.8271469452895333
为实,5,36.83780959643028
为悲,5,83.4489156164033
为没,5,2.28819074717614
为的,38,3.0262319773637736
为着,20,6.123544537931504
为自,6,10.952670174652933
为谁,6,17.277451543114488
